stage,group,window,region,seeds,bandwidth_mhz_count,bandwidth_mhz_minimum,bandwidth_mhz_median,bandwidth_mhz_p95,bandwidth_mhz_maximum,bandwidth_error_vs_numpy_bins_count,bandwidth_error_vs_numpy_bins_minimum,bandwidth_error_vs_numpy_bins_median,bandwidth_error_vs_numpy_bins_p95,bandwidth_error_vs_numpy_bins_maximum,flags,observation_scope
s3_continuous,alpha0.25_support62mhz,hann,edge,[91001],2,55.200195,55.212402,55.2233883,55.224609,2,-3.072e-05,-2.8159999999999998e-05,-2.5855999999999998e-05,-2.56e-05,"[""""]","[""first_period_of_exact_repeated_capture""]"
s3_continuous,alpha0.25_support62mhz,hann,steady,[91001],2,54.80957,54.901123,54.9835207,54.992676,2,-2.56e-05,-3.839999999999999e-06,1.5744e-05,1.792e-05,"[""""]","[""first_period_of_exact_repeated_capture""]"
s3_continuous,alpha0.25_support62mhz,rect,edge,[91001],2,55.029297,55.0964355,55.15686015,55.163574,2,-1.792e-05,-3.8400000000000005e-06,8.832e-06,1.024e-05,"[""""]","[""first_period_of_exact_repeated_capture""]"
s3_continuous,alpha0.25_support62mhz,rect,steady,[91001],2,54.785156,54.8828125,54.97070335,54.980469,2,-2.048e-05,0.0,1.8432e-05,2.048e-05,"[""""]","[""first_period_of_exact_repeated_capture""]"
s3_continuous,alpha0.2_support60mhz,hann,edge,[91001],2,53.503418,53.540039,53.5729979,53.57666,2,-1.28e-05,-5.12e-06,1.7919999999999995e-06,2.56e-06,"[""""]","[""first_period_of_exact_repeated_capture""]"
s3_continuous,alpha0.2_support60mhz,hann,steady,[91001],2,53.57666,53.6315915,53.68102985,53.686523,2,-3.584e-05,-2.432e-05,-1.3952000000000001e-05,-1.28e-05,"[""""]","[""first_period_of_exact_repeated_capture""]"
s3_continuous,alpha0.2_support60mhz,rect,edge,[91001],2,53.625488,53.6315915,53.63708465,53.637695,2,-2.56e-05,-2.4319999999999998e-05,-2.3168e-05,-2.304e-05,"[""""]","[""first_period_of_exact_repeated_capture""]"
s3_continuous,alpha0.2_support60mhz,rect,steady,[91001],2,53.540039,53.5949705,53.64440885,53.649902,2,-2.816e-05,-1.664e-05,-6.272000000000001e-06,-5.12e-06,"[""""]","[""first_period_of_exact_repeated_capture""]"
s3_continuous,alpha0.4_support70mhz,hann,edge,[91001],2,59.436035,59.625243999999995,59.7955321,59.814453,2,-1.28e-05,-1.152e-05,-1.0368e-05,-1.024e-05,"[""""]","[""first_period_of_exact_repeated_capture""]"
s3_continuous,alpha0.4_support70mhz,hann,steady,[91001],2,60.021973,60.046387,60.0683596,60.070801,2,1.792e-05,2.3040000000000003e-05,2.7648e-05,2.816e-05,"[""""]","[""first_period_of_exact_repeated_capture""]"
s3_continuous,alpha0.4_support70mhz,rect,edge,[91001],2,59.570313,59.680176,59.7790527,59.790039,2,-5.12e-06,1.792e-05,3.8656e-05,4.096e-05,"[""""]","[""first_period_of_exact_repeated_capture""]"
s3_continuous,alpha0.4_support70mhz,rect,steady,[91001],2,59.899902,59.9365235,59.96948285,59.973145,2,-2.816e-05,5.119999999999998e-06,3.507199999999999e-05,3.84e-05,"[""""]","[""first_period_of_exact_repeated_capture""]"
s3_continuous,alpha0.6_support80mhz,hann,edge,[91001],2,66.491699,66.796875,67.0715334,67.102051,2,-1.792e-05,0.0,1.6128e-05,1.792e-05,"[""""]","[""first_period_of_exact_repeated_capture""]"
s3_continuous,alpha0.6_support80mhz,hann,steady,[91001],2,66.61377,66.638184,66.66015660000001,66.662598,2,2.816e-05,3.328e-05,3.7888e-05,3.84e-05,"[""""]","[""first_period_of_exact_repeated_capture""]"
s3_continuous,alpha0.6_support80mhz,rect,edge,[91001],2,66.97998,67.095947,67.2003173,67.211914,2,-3.84e-05,-2.176e-05,-6.7840000000000015e-06,-5.12e-06,"[""""]","[""first_period_of_exact_repeated_capture""]"
s3_continuous,alpha0.6_support80mhz,rect,steady,[91001],2,66.772461,66.85180650000001,66.92321745,66.931152,2,-2.816e-05,-1.1520000000000002e-05,3.4559999999999988e-06,5.12e-06,"[""""]","[""first_period_of_exact_repeated_capture""]"
s3_finite,alpha0.25_support62mhz,hann,edge,"[91001, 91002, 91003]",6,54.846191,55.139160000000004,55.37109375,55.419922,6,-3.328e-05,-1.28e-05,1.4079999999999999e-05,1.536e-05,"[""""]","[""finite_window""]"
s3_finite,alpha0.25_support62mhz,hann,steady,"[91001, 91002, 91003]",6,54.80957,54.91333,55.18493625,55.249023,6,-3.84e-05,-2.688e-05,2.368e-05,2.56e-05,"[""""]","[""finite_window""]"
s3_finite,alpha0.25_support62mhz,rect,edge,"[91001, 91002, 91003]",6,54.89502,55.004883,55.22766075,55.249023,6,-3.584e-05,1.5360000000000002e-05,3.712e-05,3.84e-05,"[""""]","[""finite_window""]"
s3_finite,alpha0.25_support62mhz,rect,steady,"[91001, 91002, 91003]",6,54.785156,54.9377445,55.15441875,55.212402,6,-3.072e-05,0.0,3.264e-05,3.584e-05,"[""""]","[""finite_window""]"
s3_finite,alpha0.2_support60mhz,hann,edge,"[91001, 91002, 91003]",6,53.295898,53.552246,53.768921000000006,53.820801,6,-3.584e-05,-7.68e-06,1.408e-05,1.792e-05,"[""""]","[""finite_window""]"
s3_finite,alpha0.2_support60mhz,hann,steady,"[91001, 91002, 91003]",6,53.393555,53.57666,53.7506105,53.771973,6,-3.584e-05,3.8400000000000005e-06,2.752e-05,2.816e-05,"[""""]","[""finite_window""]"
s3_finite,alpha0.2_support60mhz,rect,edge,"[91001, 91002, 91003]",6,53.149414,53.619384499999995,53.634643249999996,53.637695,6,-2.56e-05,-2.1760000000000002e-05,-5.12e-06,-5.12e-06,"[""""]","[""finite_window""]"
s3_finite,alpha0.2_support60mhz,rect,steady,"[91001, 91002, 91003]",6,53.515625,53.601074,53.74145525,53.771973,6,-2.816e-05,-8.959999999999999e-06,2.112e-05,2.816e-05,"[""""]","[""finite_window""]"
s3_finite,alpha0.4_support70mhz,hann,edge,"[91001, 91002, 91003]",6,59.362793,59.814453,59.95483425,59.960938,6,-3.584e-05,-1.024e-05,3.136e-05,4.096e-05,"[""""]","[""finite_window""]"
s3_finite,alpha0.4_support70mhz,hann,steady,"[91001, 91002, 91003]",6,59.606934,59.967041,60.058594,60.070801,6,-3.584e-05,2.3040000000000003e-05,3.328e-05,3.328e-05,"[""""]","[""finite_window""]"
s3_finite,alpha0.4_support70mhz,rect,edge,"[91001, 91002, 91003]",6,59.423828,59.729004,59.97314475,60.009766,6,-2.048e-05,7.680000000000001e-06,3.84e-05,4.096e-05,"[""""]","[""finite_window""]"
s3_finite,alpha0.4_support70mhz,rect,steady,"[91001, 91002, 91003]",6,59.680176,59.8571775,60.00061075,60.009766,6,-2.816e-05,1.024e-05,3.6479999999999996e-05,3.84e-05,"[""""]","[""finite_window""]"
s3_finite,alpha0.6_support80mhz,hann,edge,"[91001, 91002, 91003]",6,66.064453,66.668701,67.07763700000001,67.102051,6,-3.328e-05,-2.56e-06,3.328e-05,3.84e-05,"[""""]","[""finite_window""]"
s3_finite,alpha0.6_support80mhz,hann,steady,"[91001, 91002, 91003]",6,66.61377,66.75415050000001,67.00134299999999,67.041016,6,-1.792e-05,2.944e-05,3.712e-05,3.84e-05,"[""""]","[""finite_window""]"
s3_finite,alpha0.6_support80mhz,rect,edge,"[91001, 91002, 91003]",6,66.552734,66.9006345,67.1539305,67.211914,6,-3.84e-05,-3.2e-05,-6.4e-06,-5.12e-06,"[""""]","[""finite_window""]"
s3_finite,alpha0.6_support80mhz,rect,steady,"[91001, 91002, 91003]",6,66.442871,66.82128900000001,67.050171,67.089844,6,-2.816e-05,-5.12e-06,1.664e-05,2.048e-05,"[""""]","[""finite_window""]"
s3_finite,excluded_wrap,hann,edge,[91004],2,98.742676,99.041748,99.3109128,99.34082,2,-2.56e-05,-3.839999999999999e-06,1.5744e-05,1.792e-05,"[""""]","[""finite_window""]"
s3_finite,excluded_wrap,hann,steady,[91004],2,98.999023,99.029541,99.0570072,99.060059,2,-3.584e-05,-1.2800000000000013e-06,2.9823999999999998e-05,3.328e-05,"[""""]","[""finite_window""]"
