stage,group,cases,seeds,applicability,known_bursts,matched,normal_matches,missed,false_alarms,merged_detections,split_truths,unmatched_overlapping_detections,background_observation_us,detection_rate,normal_detection_rate,false_alarms_per_second,start_error_samples_count,start_absolute_error_samples_count,start_error_us_count,end_error_samples_count,end_absolute_error_samples_count,end_error_us_count,length_error_samples_count,length_absolute_error_samples_count,length_error_us_count,measured_snr_before_quantization_db_count,measured_snr_before_quantization_db_minimum,measured_snr_before_quantization_db_median,measured_snr_before_quantization_db_p95,measured_snr_before_quantization_db_maximum,measured_snr_after_quantization_db_count,measured_snr_after_quantization_db_minimum,measured_snr_after_quantization_db_median,measured_snr_after_quantization_db_p95,measured_snr_after_quantization_db_maximum,start_error_samples_minimum,start_error_samples_median,start_error_samples_p95,start_error_samples_maximum,start_absolute_error_samples_minimum,start_absolute_error_samples_median,start_absolute_error_samples_p95,start_absolute_error_samples_maximum,start_error_us_minimum,start_error_us_median,start_error_us_p95,start_error_us_maximum,end_error_samples_minimum,end_error_samples_median,end_error_samples_p95,end_error_samples_maximum,end_absolute_error_samples_minimum,end_absolute_error_samples_median,end_absolute_error_samples_p95,end_absolute_error_samples_maximum,end_error_us_minimum,end_error_us_median,end_error_us_p95,end_error_us_maximum,length_error_samples_minimum,length_error_samples_median,length_error_samples_p95,length_error_samples_maximum,length_absolute_error_samples_minimum,length_absolute_error_samples_median,length_absolute_error_samples_p95,length_absolute_error_samples_maximum,length_error_us_minimum,length_error_us_median,length_error_us_p95,length_error_us_maximum
s2_boundaries,amp1024_snr0,3,"[86001, 86002, 86003]","[""APPLICABLE""]",12,0,0,12,0,0,0,0,491.52,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,-0.04023279079282066,0.026050425814946924,0.034129460480317196,0.035027130998691675,3,-0.041123907284863814,0.02512654011881516,0.033173885275213116,0.03406803473703511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s2_boundaries,amp1024_snr10,3,"[86001, 86002, 86003]","[""APPLICABLE""]",12,12,12,0,0,0,0,0,491.52,1.0,1.0,0.0,12,12,12,12,12,12,12,12,12,3,9.95976720920718,10.026050425814947,10.034129460480317,10.035027130998692,3,9.958815036848165,10.025059626354697,10.033194698601042,10.034098595517303,3,4.0,6.0,6,3,4.0,6.0,6,0.03,0.04,0.06,0.06,13,14.0,14.45,15,13,14.0,14.45,15,0.13,0.14,0.1445,0.15,7,9.0,10.45,11,7,9.0,10.45,11,0.07,0.09,0.1045,0.11
s2_boundaries,amp1024_snr30,3,"[86001, 86002, 86003]","[""APPLICABLE""]",12,12,12,0,0,0,0,0,491.52,1.0,1.0,0.0,12,12,12,12,12,12,12,12,12,3,29.95976720920718,30.026050425814947,30.03412946048032,30.035027130998692,3,29.958594907935602,30.024064013098005,30.03300785004261,30.03400160970312,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,15,15.0,15.0,15,15,15.0,15.0,15,0.15,0.15,0.15,0.15,15,15.0,15.0,15,15,15.0,15.0,15,0.15,0.15,0.15,0.15
s2_boundaries,amp256_snr0,3,"[86001, 86002, 86003]","[""APPLICABLE""]",12,0,0,12,0,0,0,0,491.52,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,-0.04023279079282066,0.026050425814946924,0.034129460480317196,0.035027130998691675,3,-0.04114086790451098,0.025136163617335172,0.03321120455145958,0.03410843132191785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s2_boundaries,amp256_snr10,3,"[86001, 86002, 86003]","[""APPLICABLE""]",12,12,12,0,0,0,0,0,491.52,1.0,1.0,0.0,12,12,12,12,12,12,12,12,12,3,9.95976720920718,10.026050425814947,10.034129460480317,10.035027130998692,3,9.958902087672632,10.02554423320871,10.03333976970507,10.034205940426887,3,4.0,6.0,6,3,4.0,6.0,6,0.03,0.04,0.06,0.06,13,14.0,14.45,15,13,14.0,14.45,15,0.13,0.14,0.1445,0.15,7,9.0,10.45,11,7,9.0,10.45,11,0.07,0.09,0.1045,0.11
s2_boundaries,amp256_snr30,3,"[86001, 86002, 86003]","[""APPLICABLE""]",12,12,12,0,0,0,0,0,491.52,1.0,1.0,0.0,12,12,12,12,12,12,12,12,12,3,29.95976720920718,30.026050425814947,30.03412946048032,30.035027130998692,3,29.946542580962642,30.010050434328996,30.019963893095312,30.02106538851379,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,15,15.0,15.0,15,15,15.0,15.0,15,0.15,0.15,0.15,0.15,15,15.0,15.0,15,15,15.0,15.0,15,0.15,0.15,0.15,0.15
s2_boundaries,digital-zero-inapplicable,2,[85001],"[""NOT_APPLICABLE""]",8,2,0,6,0,2,0,0,327.68,0.25,0.0,0.0,2,2,2,2,2,2,2,2,2,2,9.948924829919394,19.948924829919395,28.948924829919395,29.948924829919395,2,9.949499035238507,19.949395114640545,28.94930158610238,29.949291194042583,-2048,-2048.0,-2048.0,-2048,2048,2048.0,2048.0,2048,-20.48,-20.48,-20.48,-20.48,26624,26624.0,26624.0,26624,26624,26624.0,26624.0,26624,266.24,266.24,266.24,266.24,28672,28672.0,28672.0,28672,28672,28672.0,28672.0,28672,286.72,286.72,286.72,286.72
s2_boundaries,gap15_digital-zero,1,[],"[""APPLICABLE""]",2,1,0,1,0,1,0,0,317.44,0.5,0.0,0.0,1,1,1,1,1,1,1,1,1,0,,,,,0,,,,,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,527,527.0,527.0,527,527,527.0,527.0,527,5.27,5.27,5.27,5.27,527,527.0,527.0,527,527,527.0,527.0,527,5.27,5.27,5.27,5.27
s2_boundaries,gap15_threshold,1,[],"[""APPLICABLE""]",2,1,0,1,0,1,0,0,317.44,0.5,0.0,0.0,1,1,1,1,1,1,1,1,1,0,,,,,0,,,,,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,542,542.0,542.0,542,542,542.0,542.0,542,5.42,5.42,5.42,5.42,542,542.0,542.0,542,542,542.0,542.0,542,5.42,5.42,5.42,5.42
s2_boundaries,gap256_digital-zero,1,[],"[""APPLICABLE""]",2,2,2,0,0,0,0,0,317.44,1.0,1.0,0.0,2,2,2,2,2,2,2,2,2,0,,,,,0,,,,,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
s2_boundaries,gap256_threshold,1,[],"[""APPLICABLE""]",2,2,2,0,0,0,0,0,317.44,1.0,1.0,0.0,2,2,2,2,2,2,2,2,2,0,,,,,0,,,,,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,15,15.0,15.0,15,15,15.0,15.0,15,0.15,0.15,0.15,0.15,15,15.0,15.0,15,15,15.0,15.0,15,0.15,0.15,0.15,0.15
s2_boundaries,gap31_digital-zero,1,[],"[""APPLICABLE""]",2,1,0,1,0,1,0,0,317.44,0.5,0.0,0.0,1,1,1,1,1,1,1,1,1,0,,,,,0,,,,,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,543,543.0,543.0,543,543,543.0,543.0,543,5.43,5.43,5.43,5.43,543,543.0,543.0,543,543,543.0,543.0,543,5.43,5.43,5.43,5.43
s2_boundaries,gap31_threshold,1,[],"[""APPLICABLE""]",2,1,0,1,0,1,0,0,317.44,0.5,0.0,0.0,1,1,1,1,1,1,1,1,1,0,,,,,0,,,,,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,558,558.0,558.0,558,558,558.0,558.0,558,5.58,5.58,5.58,5.58,558,558.0,558.0,558,558,558.0,558.0,558,5.58,5.58,5.58,5.58
s2_boundaries,gap32_digital-zero,1,[],"[""APPLICABLE""]",2,2,2,0,0,0,0,0,317.44,1.0,1.0,0.0,2,2,2,2,2,2,2,2,2,0,,,,,0,,,,,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
s2_boundaries,gap32_threshold,1,[],"[""APPLICABLE""]",2,1,0,1,0,1,0,0,317.44,0.5,0.0,0.0,1,1,1,1,1,1,1,1,1,0,,,,,0,,,,,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,559,559.0,559.0,559,559,559.0,559.0,559,5.59,5.59,5.59,5.59,559,559.0,559.0,559,559,559.0,559.0,559,5.59,5.59,5.59,5.59
s2_boundaries,gap33_digital-zero,1,[],"[""APPLICABLE""]",2,2,2,0,0,0,0,0,317.44,1.0,1.0,0.0,2,2,2,2,2,2,2,2,2,0,,,,,0,,,,,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
s2_boundaries,gap33_threshold,1,[],"[""APPLICABLE""]",2,1,0,1,0,1,0,0,317.44,0.5,0.0,0.0,1,1,1,1,1,1,1,1,1,0,,,,,0,,,,,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,560,560.0,560.0,560,560,560.0,560.0,560,5.6,5.6,5.6,5.6,560,560.0,560.0,560,560,560.0,560.0,560,5.6,5.6,5.6,5.6
s2_boundaries,gap64_digital-zero,1,[],"[""APPLICABLE""]",2,2,2,0,0,0,0,0,317.44,1.0,1.0,0.0,2,2,2,2,2,2,2,2,2,0,,,,,0,,,,,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
s2_boundaries,gap64_threshold,1,[],"[""APPLICABLE""]",2,2,2,0,0,0,0,0,317.44,1.0,1.0,0.0,2,2,2,2,2,2,2,2,2,0,,,,,0,,,,,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,15,15.0,15.0,15,15,15.0,15.0,15,0.15,0.15,0.15,0.15,15,15.0,15.0,15,15,15.0,15.0,15,0.15,0.15,0.15,0.15
